Behaviour,Precision,Recall,F1,Accuracy,Prevelance
Class: Foraging,0.813131313131313,0.403508771929825,0.539363484087102,0.674548503611971,399
Class: Locomotion,0.91156462585034,0.943661971830986,0.927335640138408,0.964893952831181,142
Class: Stationary,0.495291902071563,0.956363636363636,0.652605459057072,0.811515151515152,275
Class: TreeMovement,0.586206896551724,0.452471482889734,0.510729613733906,0.674765153209573,263
Macro-Average,0.701548684401235,0.689001465753545,0.657508549254122,0.781430690291969,
