Behaviour,Precision,Recall,F1,Accuracy,Prevelance
Class: Foraging,0.948979591836735,0.93,0.939393939393939,0.960487364620939,100
Class: Locomotion,0.98989898989899,0.98,0.984924623115578,0.989097472924188,100
Class: Stationary,0.99,0.383720930232558,0.553072625698324,0.690597838853653,258
Class: TreeMovement,0.540616246498599,0.984693877551021,0.698010849909584,0.813307637465467,196
Macro-Average,0.867373707058581,0.819603701945895,0.793850509529356,0.863372578466062,
