Behaviour,Precision,Recall,F1,Accuracy,Prevelance
Class: Foraging,0.463768115942029,0.96,0.625407166123779,0.847541766109785,100
Class: Locomotion,1,0.68,0.80952380952381,0.84,100
Class: Stationary,0.944444444444444,0.435897435897436,0.596491228070176,0.71243907607544,156
Class: TreeMovement,0.895348837209302,0.94478527607362,0.919402985074627,0.947111739160405,163
Macro-Average,0.825890349398944,0.755170677992764,0.737706297198098,0.836773145336408,
