Behaviour,Precision,Recall,F1,Accuracy,Prevelance
Class: Foraging,0.845454545454546,0.93,0.885714285714286,0.949657039711191,100
Class: Locomotion,0.921875,0.59,0.719512195121951,0.790487364620939,100
Class: Stationary,0.9921875,0.492248062015504,0.658031088082902,0.744861404745126,258
Class: TreeMovement,0.519886363636364,0.933673469387755,0.667883211678832,0.782338918099991,196
Macro-Average,0.819850852272727,0.736480382850815,0.732785195149493,0.816836181794312,
