Behaviour,Precision,Recall,F1,Accuracy,Prevelance
Class: Foraging,0.775401069518717,0.363408521303258,0.494880546075085,0.650821907710453,399
Class: Locomotion,0.915492957746479,0.915492957746479,0.915492957746479,0.95134306371849,142
Class: Stationary,0.538947368421053,0.930909090909091,0.682666666666667,0.829260515603799,275
Class: TreeMovement,0.490909090909091,0.513307984790874,0.50185873605948,0.670869678669947,263
Macro-Average,0.680187621648835,0.680779638687426,0.648724726636928,0.775573791425672,
