Behaviour,Precision,Recall,F1,Accuracy,Prevelance
Class: Foraging,0.902173913043478,0.416040100250627,0.569468267581475,0.694784756007666,399
Class: Locomotion,0.948905109489051,0.915492957746479,0.931899641577061,0.954011153366302,142
Class: Stationary,0.474576271186441,0.916363636363636,0.625310173697271,0.784674355495251,275
Class: TreeMovement,0.519823788546256,0.448669201520913,0.481632653061225,0.657545385074182,263
Macro-Average,0.711369770566306,0.674141473970414,0.652077683979258,0.77275391248585,
