Behaviour,Precision,Recall,F1,Accuracy,Prevelance
Class: Foraging,0.808290155440415,0.390977443609023,0.527027027027027,0.66828283945157,399
Class: Locomotion,0.887417218543046,0.943661971830986,0.914675767918089,0.962759481112932,142
Class: Stationary,0.477064220183486,0.945454545454546,0.634146341463415,0.795488466757124,275
Class: TreeMovement,0.563157894736842,0.406844106463878,0.472406181015453,0.652564210094684,263
Macro-Average,0.683982372225947,0.671734516839608,0.637063829355996,0.769773749354077,
