Behaviour,Precision,Recall,F1,Accuracy,Prevelance
Class: Foraging,0.82183908045977,0.358395989974937,0.49912739965096,0.65640387734041,399
Class: Locomotion,0.921985815602837,0.915492957746479,0.918727915194346,0.951876681648053,142
Class: Stationary,0.495344506517691,0.967272727272727,0.655172413793103,0.815104025327906,275
Class: TreeMovement,0.511013215859031,0.44106463878327,0.473469387755102,0.652517613509282,263
Macro-Average,0.687545654609832,0.670556578444353,0.636624279098378,0.768975549456413,
