Activity,smoothing_type,rep_id,Metric,Score
TreeMovement,Duration,3,Precision,0.853801169590643
TreeMovement,Duration,3,Recall,0.895705521472393
TreeMovement,Duration,3,F1,0.874251497005988
TreeMovement,Duration,3,Accuracy,0.912740401185635
Macro-Average,Duration,3,Precision,0.84178263361311
Macro-Average,Duration,3,Recall,0.807516123957842
Macro-Average,Duration,3,F1,0.801563433052105
Macro-Average,Duration,3,Accuracy,0.872489390423003
Foraging,HMM,1,Precision,0.641379310344828
Foraging,HMM,1,Recall,0.93
Foraging,HMM,1,F1,0.759183673469388
Foraging,HMM,1,Accuracy,0.918068592057762
Locomotion,HMM,1,Precision,0.950819672131147
Locomotion,HMM,1,Recall,0.58
Locomotion,HMM,1,F1,0.720496894409938
Locomotion,HMM,1,Accuracy,0.787292418772563
Stationary,HMM,1,Precision,1
Stationary,HMM,1,Recall,0.534883720930233
Stationary,HMM,1,F1,0.696969696969697
Stationary,HMM,1,Accuracy,0.767441860465116
TreeMovement,HMM,1,Precision,0.596774193548387
TreeMovement,HMM,1,Recall,0.943877551020408
TreeMovement,HMM,1,F1,0.731225296442688
TreeMovement,HMM,1,Accuracy,0.835475893414134
Macro-Average,HMM,1,Precision,0.797243294006091
Macro-Average,HMM,1,Recall,0.74719031798766
Macro-Average,HMM,1,F1,0.726968890322928
Macro-Average,HMM,1,Accuracy,0.827069691177394
Foraging,HMM,2,Precision,0.775401069518717
Foraging,HMM,2,Recall,0.363408521303258
Foraging,HMM,2,F1,0.494880546075085
Foraging,HMM,2,Accuracy,0.650821907710453
Locomotion,HMM,2,Precision,0.915492957746479
Locomotion,HMM,2,Recall,0.915492957746479
Locomotion,HMM,2,F1,0.915492957746479
Locomotion,HMM,2,Accuracy,0.95134306371849
Stationary,HMM,2,Precision,0.538947368421053
Stationary,HMM,2,Recall,0.930909090909091
Stationary,HMM,2,F1,0.682666666666667
Stationary,HMM,2,Accuracy,0.829260515603799
TreeMovement,HMM,2,Precision,0.490909090909091
TreeMovement,HMM,2,Recall,0.513307984790874
TreeMovement,HMM,2,F1,0.50185873605948
TreeMovement,HMM,2,Accuracy,0.670869678669947
Macro-Average,HMM,2,Precision,0.680187621648835
Macro-Average,HMM,2,Recall,0.680779638687426
Macro-Average,HMM,2,F1,0.648724726636928
Macro-Average,HMM,2,Accuracy,0.775573791425672
Foraging,HMM,3,Precision,0.625
Foraging,HMM,3,Recall,0.95
Foraging,HMM,3,F1,0.753968253968254
Foraging,HMM,3,Accuracy,0.906980906921241
Locomotion,HMM,3,Precision,0.984615384615385
Locomotion,HMM,3,Recall,0.64
Locomotion,HMM,3,F1,0.775757575757576
