"Behaviour","Precision","Recall","F1","Accuracy","Prevelance"
"Class: drink",1,0.0731707317073171,0.136363636363636,0.536585365853659,246
"Class: eat",0.319444444444444,0.350253807106599,0.334140435835351,0.658936287502194,591
"Class: lay",0.231196581196581,0.444170771756979,0.304103428892636,0.652850472085386,1218
"Class: run",0.896759608138659,0.937007874015748,0.91644204851752,0.963210273947596,1270
"Class: sit",0.439075630252101,0.128220858895706,0.198480531813865,0.553498346776947,1630
"Class: stand",0.483850931677019,0.407746663177179,0.442550774037779,0.623884882267192,3821
"Class: trot",0.842050209205021,0.864661654135338,0.853206147323794,0.920102126063458,1862
"Class: walk",0.712813305223706,0.851903695408735,0.776176508098457,0.86832823424319,3572
"Macro-Average",0.615648838767191,0.50714200702545,0.49518293886038,0.722174498592453,NA
