"Behaviour","Precision","Recall","F1","Accuracy","Prevelance"
"Class: drink",0.816901408450704,0.343195266272189,0.483333333333333,0.670820771656472,169
"Class: eat",0.463942307692308,0.227594339622642,0.305379746835443,0.599294048063142,848
"Class: lay",0.2557781201849,0.407862407862408,0.314393939393939,0.641382641382641,814
"Class: run",0.669796557120501,0.993039443155452,0.8,0.983503065192779,431
"Class: sit",0.202090592334495,0.345924453280318,0.255131964809384,0.63020111622064,503
"Class: stand",0.616837136113297,0.35620172648796,0.451612903225806,0.6396636098896,2201
"Class: trot",0.894990366088632,0.792662116040956,0.840723981900452,0.888930188927594,1172
"Class: walk",0.766825288919103,0.940783986655546,0.844943820224719,0.914510598736701,2398
"Macro-Average",0.585895222112992,0.550907967422184,0.536939961215385,0.746038255008696,NA
