"Behaviour","Precision","Recall","F1","Accuracy","Prevelance"
"Class: drink",0.88659793814433,0.788990825688073,0.834951456310679,0.893865689922122,109
"Class: eat",0.420062695924765,0.485507246376812,0.450420168067227,0.73195637794503,276
"Class: lay",0.574242424242424,0.19978914074855,0.296441141963238,0.579667101327342,1897
"Class: run",0.919776119402985,0.948076923076923,0.933712121212121,0.96852776052603,1040
"Class: sit",0.241721854304636,0.292585170340681,0.264732547597461,0.618847714604665,499
"Class: stand",0.376765375854214,0.495506291192331,0.428053830227743,0.652408846739182,1669
"Class: trot",0.780821917808219,0.884248210023866,0.829322887520985,0.92913222493698,838
"Class: walk",0.783847980997625,0.918489065606362,0.845844013181985,0.908912674396101,2515
"Macro-Average",0.6229795383349,0.6266491091317,0.61043477076018,0.785414798799682,NA
