"Behaviour","Precision","Recall","F1","Accuracy","Prevelance"
"Class: drink",1,0.0909090909090909,0.166666666666667,0.545454545454545,33
"Class: eat",0.141791044776119,0.204301075268817,0.167400881057269,0.595310185504977,93
"Class: lay",0.0618101545253863,0.0480274442538593,0.0540540540540541,0.497169356285596,583
"Class: run",0.875338753387534,0.935328185328185,0.904339710685954,0.958418480979783,1036
"Class: sit",0.348530901722391,0.471879286694102,0.400932400932401,0.694562551969959,729
"Class: stand",0.58764367816092,0.351072961373391,0.439548629768941,0.629013543419715,2330
"Class: trot",0.886927744070601,0.904386951631046,0.895572263993317,0.936942769075455,1778
"Class: walk",0.677394636015326,0.922274387063119,0.781091230395405,0.897174872048728,1917
"Macro-Average",0.572429614082285,0.491022422815201,0.476200729694251,0.719255788092345,NA
