ID,Time,X,Y,Z,Activity
Angelina,2023-05-16T13:01:15.283203Z,0.16687,-0.912598,0.406738,Stationary
Angelina,2023-05-16T13:01:15.283203Z,0.166992,-0.93396,0.403809,Stationary
Angelina,2023-05-16T13:01:15.283203Z,0.180054,-0.956299,0.401733,Stationary
Angelina,2023-05-16T13:01:15.283203Z,0.188599,-0.900635,0.41687,Stationary
Angelina,2023-05-16T13:01:15.283203Z,0.192139,-0.916138,0.43689,Stationary
Angelina,2023-05-16T13:01:15.369604Z,0.198853,-0.939331,0.405762,Stationary
Angelina,2023-05-16T13:01:15.369604Z,0.198853,-0.939087,0.437134,Stationary
Angelina,2023-05-16T13:01:15.369604Z,0.206665,-0.938599,0.408325,Stationary
Angelina,2023-05-16T13:01:15.369604Z,0.213989,-0.935913,0.420044,Stationary
Angelina,2023-05-16T13:01:15.456005Z,0.185669,-0.922852,0.414795,Stationary
Angelina,2023-05-16T13:01:15.456005Z,0.19751,-0.919312,0.409424,Stationary
Angelina,2023-05-16T13:01:15.456005Z,0.203125,-0.925293,0.414917,Stationary
Angelina,2023-05-16T13:01:15.456005Z,0.203369,-0.920898,0.41333,Stationary
Angelina,2023-05-16T13:01:15.542395Z,0.154785,-0.9375,0.391235,Stationary
Angelina,2023-05-16T13:01:15.542395Z,0.157471,-0.944824,0.383789,Stationary
Angelina,2023-05-16T13:01:15.542395Z,0.169189,-0.956055,0.395142,Stationary
Angelina,2023-05-16T13:01:15.542395Z,0.186523,-0.973389,0.397217,Stationary
Angelina,2023-05-16T13:01:15.542395Z,0.197754,-0.947388,0.404907,Stationary
Angelina,2023-05-16T13:01:15.628796Z,0.163574,-0.947021,0.387085,Stationary
Angelina,2023-05-16T13:01:15.628796Z,0.171631,-0.953003,0.376221,Stationary
Angelina,2023-05-16T13:01:15.628796Z,0.182861,-0.959351,0.371216,Stationary
Angelina,2023-05-16T13:01:15.628796Z,0.184692,-0.950684,0.376709,Stationary
Angelina,2023-05-16T13:01:15.715197Z,0.145508,-0.956299,0.386475,Stationary
Angelina,2023-05-16T13:01:15.715197Z,0.148193,-0.954834,0.390625,Stationary
Angelina,2023-05-16T13:01:15.715197Z,0.153442,-0.95752,0.374878,Stationary
Angelina,2023-05-16T13:01:15.715197Z,0.159912,-0.963257,0.367065,Stationary
Angelina,2023-05-16T13:01:15.801597Z,0.159058,-0.96167,0.366455,Stationary
Angelina,2023-05-16T13:01:15.801597Z,0.160156,-0.953491,0.371216,Stationary
Angelina,2023-05-16T13:01:15.801597Z,0.170776,-0.96106,0.367798,Stationary
Angelina,2023-05-16T13:01:15.801597Z,0.172363,-0.961548,0.366699,Stationary
Angelina,2023-05-16T13:01:15.801597Z,0.173706,-0.944214,0.380737,Stationary
Angelina,2023-05-16T13:01:15.887998Z,0.179443,-0.954102,0.388916,Stationary
Angelina,2023-05-16T13:01:15.887998Z,0.179565,-0.948975,0.397095,Stationary
Angelina,2023-05-16T13:01:15.887998Z,0.185913,-0.943237,0.3927,Stationary
Angelina,2023-05-16T13:01:15.887998Z,0.188477,-0.954224,0.401245,Stationary
Angelina,2023-05-16T13:01:15.974398Z,0.151855,-0.942749,0.380737,Stationary
Angelina,2023-05-16T13:01:15.974398Z,0.156738,-0.949951,0.374756,Stationary
Angelina,2023-05-16T13:01:15.974398Z,0.171143,-0.948975,0.366333,Stationary
Angelina,2023-05-16T13:01:15.974398Z,0.175415,-0.945068,0.381226,Stationary
Angelina,2023-05-16T13:01:16.060799Z,0.15918,-0.959961,0.380859,Stationary
Angelina,2023-05-16T13:01:16.060799Z,0.167969,-0.95752,0.375,Stationary
Angelina,2023-05-16T13:01:16.060799Z,0.182739,-0.94751,0.380981,Stationary
Angelina,2023-05-16T13:01:16.060799Z,0.183472,-0.945801,0.396851,Stationary
Angelina,2023-05-16T13:01:16.060799Z,0.186401,-0.941772,0.388184,Stationary
Angelina,2023-05-16T13:01:16.147200Z,0.18103,-0.950317,0.412231,Stationary
Angelina,2023-05-16T13:01:16.147200Z,0.186157,-0.944702,0.404175,Stationary
Angelina,2023-05-16T13:01:16.147200Z,0.192993,-0.943237,0.410278,Stationary
Angelina,2023-05-16T13:01:16.147200Z,0.194946,-0.941284,0.398804,Stationary
Angelina,2023-05-16T13:01:16.233600Z,0.178467,-0.930664,0.41272,Stationary
Angelina,2023-05-16T13:01:16.233600Z,0.178589,-0.932861,0.406738,Stationary
Angelina,2023-05-16T13:01:16.233600Z,0.189819,-0.926636,0.411011,Stationary
Angelina,2023-05-16T13:01:16.233600Z,0.209717,-0.927856,0.410889,Stationary
Angelina,2023-05-16T13:01:16.320001Z,0.187134,-0.933594,0.403076,Stationary
Angelina,2023-05-16T13:01:16.320001Z,0.1875,-0.940674,0.416016,Stationary
Angelina,2023-05-16T13:01:16.320001Z,0.205322,-0.937256,0.417358,Stationary
Angelina,2023-05-16T13:01:16.320001Z,0.220581,-0.934082,0.416504,Stationary
Angelina,2023-05-16T13:01:16.320001Z,0.231323,-0.94043,0.414185,Stationary
Angelina,2023-05-16T13:01:16.406402Z,0.171875,-0.950928,0.411133,Stationary
Angelina,2023-05-16T13:01:16.406402Z,0.174683,-0.929565,0.420288,Stationary
Angelina,2023-05-16T13:01:16.406402Z,0.180298,-0.918457,0.420654,Stationary
Angelina,2023-05-16T13:01:16.406402Z,0.185913,-0.919067,0.404297,Stationary
Angelina,2023-05-16T13:01:16.492802Z,0.153198,-0.935303,0.40564,Stationary
Angelina,2023-05-16T13:01:16.492802Z,0.160156,-0.939941,0.39917,Stationary
Angelina,2023-05-16T13:01:16.492802Z,0.163818,-0.96228,0.402222,Stationary
Angelina,2023-05-16T13:01:16.492802Z,0.171021,-0.974976,0.410889,Stationary
Angelina,2023-05-16T13:01:16.579203Z,0.119629,-0.979736,0.4198,Stationary
Angelina,2023-05-16T13:01:16.579203Z,0.136841,-0.979248,0.405396,Stationary
Angelina,2023-05-16T13:01:16.579203Z,0.151978,-0.94873,0.394043,Stationary
Angelina,2023-05-16T13:01:16.579203Z,0.154785,-0.93811,0.406616,Stationary
Angelina,2023-05-16T13:01:16.579203Z,0.157593,-0.939453,0.398682,Stationary
Angelina,2023-05-16T13:01:16.665604Z,0.088013,-0.961182,0.423584,Stationary
Angelina,2023-05-16T13:01:16.665604Z,0.091553,-0.963379,0.421509,Stationary
Angelina,2023-05-16T13:01:16.665604Z,0.096069,-0.960693,0.424561,Stationary
Angelina,2023-05-16T13:01:16.665604Z,0.137451,-0.914795,0.416626,Stationary
Angelina,2023-05-16T13:01:16.752004Z,0.138184,-0.882324,0.445313,Stationary
Angelina,2023-05-16T13:01:16.752004Z,0.147461,-0.87915,0.46814,Stationary
Angelina,2023-05-16T13:01:16.752004Z,0.196533,-0.853027,0.4823,Stationary
Angelina,2023-05-16T13:01:16.752004Z,0.245605,-0.872192,0.489258,Stationary
Angelina,2023-05-16T13:01:16.838395Z,0.123657,-0.935059,0.467285,Stationary
Angelina,2023-05-16T13:01:16.838395Z,0.139404,-0.936646,0.481079,Stationary
Angelina,2023-05-16T13:01:16.838395Z,0.176147,-0.925659,0.495117,Stationary
Angelina,2023-05-16T13:01:16.838395Z,0.21582,-0.925537,0.501953,Stationary
Angelina,2023-05-16T13:01:16.838395Z,0.246582,-0.918945,0.5,Stationary
Angelina,2023-05-16T13:01:16.924796Z,0.135254,-0.933838,0.460815,Stationary
Angelina,2023-05-16T13:01:16.924796Z,0.135376,-0.901489,0.447021,Stationary
Angelina,2023-05-16T13:01:16.924796Z,0.138672,-0.916992,0.451538,Stationary
Angelina,2023-05-16T13:01:16.924796Z,0.144409,-0.916992,0.454346,Stationary
Angelina,2023-05-16T13:01:17.011196Z,0.169312,-0.923096,0.457642,Stationary
Angelina,2023-05-16T13:01:17.011196Z,0.181641,-0.943604,0.461426,Stationary
Angelina,2023-05-16T13:01:17.011196Z,0.190063,-0.928833,0.454834,Stationary
Angelina,2023-05-16T13:01:17.011196Z,0.196167,-0.904907,0.451538,Stationary
Angelina,2023-05-16T13:01:17.097597Z,0.159058,-0.908203,0.434326,Stationary
Angelina,2023-05-16T13:01:17.097597Z,0.163086,-0.922729,0.433716,Stationary
Angelina,2023-05-16T13:01:17.097597Z,0.165649,-0.939941,0.442871,Stationary
Angelina,2023-05-16T13:01:17.097597Z,0.174194,-0.920044,0.448364,Stationary
Angelina,2023-05-16T13:01:17.097597Z,0.175171,-0.921387,0.453491,Stationary
Angelina,2023-05-16T13:01:17.183998Z,0.152222,-0.922241,0.44397,Stationary
Angelina,2023-05-16T13:01:17.183998Z,0.163086,-0.926514,0.448975,Stationary
Angelina,2023-05-16T13:01:17.183998Z,0.182983,-0.914063,0.464722,Stationary
Angelina,2023-05-16T13:01:17.183998Z,0.186646,-0.918091,0.452393,Stationary
