"Behaviour","Precision","Recall","F1","Accuracy","Prevelance"
"Class: Foraging",0.775401069518717,0.363408521303258,0.494880546075085,0.650821907710453,399
"Class: Locomotion",0.915492957746479,0.915492957746479,0.915492957746479,0.95134306371849,142
"Class: Stationary",0.49625468164794,0.963636363636364,0.65512978986403,0.814529624604251,275
"Class: TreeMovement",0.513888888888889,0.422053231939163,0.463465553235908,0.646688380675464,263
"Macro-Average",0.675259399450506,0.666147768656316,0.632242211730376,0.765845744177165,NA
